run,seed,n,treated,shrinkage,functional,dr,if_se,plugin
fit_ext_1980_2016_seed0,0,1887,163,50.0,mean,0.4402452453075236,0.13231845705382242,0.09434921916872355
fit_ext_1980_2016_seed0,0,1887,163,50.0,sd,0.2619474075613738,0.12217830977558801,0.002614695193550961
fit_ext_1980_2016_seed0,0,1887,163,50.0,skew,0.029126444025986895,0.016143977269092256,0.014448586132818181
fit_ext_1980_2016_seed0,0,1887,163,50.0,tail,0.598422446279105,0.20831553394034782,0.08448417614825894
fit_ext_1980_2016_seed0,0,1887,163,50.0,reference,0.17674733627055852,0.09708132002358877,-0.01674605165450647
fit_ext_1980_2016_seed0,0,1887,163,50.0,p10,0.2624913961733134,0.03653663929763089,0.13953036645630162
fit_ext_1980_2016_seed0,0,1887,163,50.0,p90,0.6555393527360021,0.2823615516286321,0.022506431776363585
fit_ext_1980_2016_seed0,0,1887,163,50.0,ref_us2016,-0.36195576193196327,0.14549725673078026,-0.05713920417342025
fit_ext_1980_2016_seed0,0,1887,163,50.0,ref_mean_norm,-0.0007315593512996829,0.0032213623851605902,-0.00247061265773422
fit_ext_1980_2016_seed1,1,1887,163,50.0,mean,0.39832725006463654,0.10989546985525546,0.09434921916872355
fit_ext_1980_2016_seed1,1,1887,163,50.0,sd,0.22228897285050633,0.10939695888532715,0.002614695193550961
fit_ext_1980_2016_seed1,1,1887,163,50.0,skew,0.02261182092662144,0.016172802694676504,0.014448586132818181
fit_ext_1980_2016_seed1,1,1887,163,50.0,tail,0.538729151763275,0.17796933527711795,0.08448417614825894
fit_ext_1980_2016_seed1,1,1887,163,50.0,reference,0.12514210086841476,0.10500040982498869,-0.01674605165450647
fit_ext_1980_2016_seed1,1,1887,163,50.0,p10,0.25114141611061286,0.036785118144307245,0.13953036645630162
fit_ext_1980_2016_seed1,1,1887,163,50.0,p90,0.5765407415792324,0.2570405933923403,0.022506431776363585
fit_ext_1980_2016_seed1,1,1887,163,50.0,ref_us2016,-0.30960163938568264,0.13214153462435452,-0.05713920417342025
fit_ext_1980_2016_seed1,1,1887,163,50.0,ref_mean_norm,-0.001737848919858254,0.0031451847626459144,-0.00247061265773422
fit_ext_2017_2022_seed0,0,306,66,0.0,mean,0.7195539934432821,0.22726809708302612,0.5533874610928095
fit_ext_2017_2022_seed0,0,306,66,0.0,sd,0.5602041573500237,0.13214090405288412,0.5487695522459319
fit_ext_2017_2022_seed0,0,306,66,0.0,skew,-0.021096550186936874,0.035642894793316976,0.02177695884516912
fit_ext_2017_2022_seed0,0,306,66,0.0,tail,1.1331265483379769,0.3150798480871498,0.8931130176608437
fit_ext_2017_2022_seed0,0,306,66,0.0,reference,0.8882758257404477,0.22601332415217626,0.7765828550243304
