unit_id,grade,schid,tchid,classtype,classsize,tested_n,assigned_n,teacher_tgen,teacher_tgen_imputed,teacher_trace,teacher_trace_imputed,teacher_thighdegree,teacher_thighdegree_imputed,teacher_tyears,teacher_tyears_imputed,share_female_n,share_black_n,share_freelunch_n,share_female,share_black,share_freelunch,school_urban,school_fl_official,school_fl_n_grades,school_fl_student
g1_112038_11203804,g1,112038,11203804,3,28.0,24,28,2.0,False,2.0,False,2.0,False,7.0,False,28,28,28,0.35714285714285715,0.2857142857142857,0.8214285714285714,4.0,0.705,4,0.7534246575342466
g1_112038_11203805,g1,112038,11203805,1,17.0,17,17,2.0,False,1.0,False,2.0,False,12.0,False,17,17,17,0.35294117647058826,0.6470588235294118,0.8235294117647058,4.0,0.705,4,0.7534246575342466
g1_112038_11203806,g1,112038,11203806,2,28.0,27,28,2.0,False,1.0,False,2.0,False,5.0,False,28,28,28,0.39285714285714285,0.35714285714285715,0.6428571428571429,4.0,0.705,4,0.7534246575342466
g1_123056_12305604,g1,123056,12305604,2,25.0,23,25,2.0,False,1.0,False,2.0,False,10.0,False,25,25,25,0.48,0.0,0.44,3.0,0.3075,4,0.39705882352941174
g1_123056_12305605,g1,123056,12305605,3,27.0,25,27,2.0,False,1.0,False,3.0,False,8.0,False,27,27,25,0.4444444444444444,0.0,0.32,3.0,0.3075,4,0.39705882352941174
g1_123056_12305606,g1,123056,12305606,1,19.0,17,19,2.0,False,1.0,False,2.0,False,12.0,False,19,19,18,0.42105263157894735,0.0,0.4444444444444444,3.0,0.3075,4,0.39705882352941174
g1_128076_12807605,g1,128076,12807605,3,21.0,20,21,2.0,False,1.0,False,3.0,False,29.0,False,21,21,21,0.38095238095238093,0.047619047619047616,0.19047619047619047,2.0,0.1825,4,0.16901408450704225
g1_128076_12807606,g1,128076,12807606,1,15.0,15,15,2.0,False,1.0,False,2.0,False,0.0,False,15,15,15,0.5333333333333333,0.0,0.2,2.0,0.1825,4,0.16901408450704225
g1_128076_12807607,g1,128076,12807607,2,21.0,21,21,2.0,False,1.0,False,3.0,False,8.0,False,21,21,21,0.2857142857142857,0.0,0.14285714285714285,2.0,0.1825,4,0.16901408450704225
g1_128079_12807904,g1,128079,12807904,3,23.0,23,23,2.0,False,1.0,False,3.0,False,8.0,False,23,23,23,0.391304347826087,0.043478260869565216,0.43478260869565216,3.0,0.3525,4,0.4375
g1_128079_12807905,g1,128079,12807905,1,15.0,15,15,2.0,False,1.0,False,2.0,False,7.0,False,15,15,15,0.4666666666666667,0.06666666666666667,0.4,3.0,0.3525,4,0.4375
g1_128079_12807906,g1,128079,12807906,2,20.0,20,20,2.0,False,1.0,False,2.0,False,0.0,False,20,20,10,0.4,0.05,0.6,3.0,0.3525,4,0.4375
g1_128079_12807907,g1,128079,12807907,1,16.0,16,16,2.0,False,1.0,False,3.0,False,9.0,False,16,16,16,0.375,0.0625,0.375,3.0,0.3525,4,0.4375
g1_130085_13008505,g1,130085,13008505,2,23.0,23,23,2.0,False,1.0,False,3.0,False,10.0,False,23,23,23,0.6086956521739131,0.0,0.08695652173913043,2.0,0.21,4,0.14942528735632185
g1_130085_13008506,g1,130085,13008506,3,24.0,23,24,2.0,False,1.0,False,2.0,False,1.0,False,24,24,24,0.5416666666666666,0.08333333333333333,0.125,2.0,0.21,4,0.14942528735632185
g1_130085_13008507,g1,130085,13008507,3,23.0,22,23,2.0,False,1.0,False,3.0,False,29.0,False,23,23,23,0.4782608695652174,0.043478260869565216,0.21739130434782608,2.0,0.21,4,0.14942528735632185
g1_130085_13008508,g1,130085,13008508,1,17.0,17,17,2.0,False,1.0,False,3.0,False,12.0,False,17,17,17,0.47058823529411764,0.0,0.17647058823529413,2.0,0.21,4,0.14942528735632185
g1_159171_15917106,g1,159171,15917106,3,26.0,25,26,2.0,False,1.0,False,2.0,False,9.0,False,25,25,25,0.4,0.16,0.52,3.0,0.495,4,0.5614035087719298
g1_159171_15917107,g1,159171,15917107,2,23.0,22,23,2.0,False,1.0,False,2.0,False,1.0,False,23,23,21,0.4782608695652174,0.4782608695652174,0.6666666666666666,3.0,0.495,4,0.5614035087719298
g1_159171_15917108,g1,159171,15917108,3,23.0,23,23,2.0,False,1.0,False,3.0,False,9.0,False,23,23,23,0.4782608695652174,0.17391304347826086,0.43478260869565216,3.0,0.495,4,0.5614035087719298
g1_159171_15917109,g1,159171,15917109,2,23.0,23,23,2.0,False,1.0,False,2.0,False,5.0,False,23,23,23,0.43478260869565216,0.34782608695652173,0.5652173913043478,3.0,0.495,4,0.5614035087719298
g1_159171_15917110,g1,159171,15917110,1,15.0,15,15,2.0,False,1.0,False,2.0,False,7.0,False,15,15,6,0.4666666666666667,0.2,1.0,3.0,0.495,4,0.5614035087719298
g1_159171_15917111,g1,159171,15917111,1,16.0,16,16,2.0,False,1.0,False,2.0,False,1.0,False,16,16,16,0.5,0.3125,0.5,3.0,0.495,4,0.5614035087719298
