state_fips,n_records,n_wage_earners_16_64,sum_PWGTP,n_ftyr,median_wage_all_16_64,median_wage_ftyr,se_median,cv_median,cv_p90
1,19960,19960,2109806.0,14041,32324.640000000003,42426.090000000004,81.44049353155017,0.00251945554634329,0.022773358326051613
2,3053,3053,350150.0,1733,40405.8,55557.975000000006,1250.2576589699775,0.03094252951234668,0.02073442288748163
4,29726,29726,3222760.0,20130,35355.075000000004,45456.525,0.0,0.0,0.016313669229564558
5,12330,12330,1301372.0,8618,30304.350000000002,40405.8,168.02834011816975,0.0055446937524866804,0.006252143852712626
6,171314,171314,18237459.0,114578,40405.8,53537.685000000005,0.0,0.0,0.0
8,28218,28218,2976886.0,19039,40405.8,53537.685000000005,0.0,0.0,0.019279101290706768
9,17007,17007,1754358.0,11154,43436.235,60608.700000000004,934.7560498593866,0.021520190455258992,0.00947669379945457
10,4123,4123,457643.0,2836,40344.93228846155,50507.25,1787.9104901022895,0.044315615089373275,0.03883547262899488
11,3973,3973,392124.0,2875,64649.280000000006,80811.6,2430.6960305371367,0.03759819182111752,0.015514948600789445
12,85892,85892,9446722.0,60345,32324.640000000003,40405.8,0.0,0.0,0.0
13,45088,45088,4933047.0,32034,35355.075000000004,45456.525,0.0,0.0,0.0
15,6412,6412,668578.0,4629,40405.8,50507.25,0.0,0.0,0.0
16,7432,7432,824108.0,4729,31516.524,43436.235,874.0832213409203,0.027734125163705246,0.025442376751085787
17,58543,58543,6167701.0,40547,40405.8,50507.25,0.0,0.0,0.0
18,31333,31333,3227563.0,20965,35355.075000000004,45456.525,494.10176445764125,0.01397541270829269,0.014999515260035793
19,15200,15200,1556590.0,10290,36365.22,46466.670000000006,830.9076470640275,0.022848965221825345,0.0
20,13594,13594,1407349.0,9367,35355.075000000004,45456.525,585.6562660390382,0.016564984405747638,0.008364443852770215
21,19393,19393,1992353.0,13190,33334.785,43436.235,659.2898773213926,0.01977783499492775,0.02300843332224392
22,17919,17919,1980522.0,12448,33334.785,43638.264,788.1547630740257,0.023643613212865348,0.028776823158832253
23,5793,5793,624917.0,3634,35355.075000000004,45456.525,18.587653967005433,0.000525742173280793,0.03653253620046035
24,28787,28787,2998980.0,20585,46466.670000000006,60608.700000000004,701.3170364325944,0.015092905009818743,0.003098386676965901
25,35405,35405,3557071.0,23121,46466.670000000006,63639.135,917.2586458612723,0.019740141608195125,0.0034401045807688963
26,44729,44729,4719504.0,29174,35355.075000000004,48486.96000000001,657.7805538894579,0.018604982563025473,0.01635540088548796
27,27011,27011,2927852.0,17784,41415.945,55557.975000000006,753.7764150811537,0.018200150089081723,0.014920911764033084
28,11450,11450,1237469.0,7992,30304.350000000002,38817.285393292674,245.36336796774515,0.008096638534327419,0.017118912349409796
29,27646,27646,2874787.0,19229,35355.075000000004,45456.525,0.0,0.0,0.0024845199749997764
30,4571,4571,508677.0,2853,31516.524,44244.351,1067.5360624090974,0.03387226530467311,0.03335861826304039
31,9197,9197,974283.0,6332,36365.22,45456.525,532.2145632564293,0.014635263123842761,0.02629312948993289
32,13103,13103,1434824.0,9085,35355.075000000004,42426.090000000004,0.0,0.0,0.008958064164776203
33,6710,6710,695874.0,4394,41745.788265306124,55557.975000000006,1129.5811625805488,0.027058565894162678,0.00614322848332445
34,42484,42484,4337906.0,29521,46062.612,60608.700000000004,1026.2866424857373,0.02228025285421802,0.021205008023556102
35,7768,7768,904259.0,5257,30304.350000000002,40405.8,225.87528871315263,0.007453559924999302,0.02125736369168387
36,91555,91555,9294666.0,61567,42325.075500000006,56568.12,531.3796661505604,0.012554724589931572,0.003227486121839527
37,45642,45642,4879838.0,31459,34850.0025,43436.235,766.9788256340048,0.022007999156786424,0.017296501815952683
38,3662,3662,394919.0,2418,37375.365000000005,48378.88154895105,1379.251113416348,0.03690267943647769,0.05418050390191678
39,54960,54960,5590487.0,36751,35355.075000000004,47476.815,0.0,0.0,0.016012772619572554
40,15510,15510,1746067.0,10931,33334.785,42426.090000000004,849.806478185706,0.025493084121757676,0.016688419794310176
41,18896,18896,1986607.0,11917,36365.22,50507.25,268.18834169589275,0.0073748582215615015,0.0
42,59424,59424,6116941.0,40270,38385.51,50507.25,0.0,0.0,0.0
44,5196,5196,539623.0,3411,39395.655000000006,50507.25,1246.9350448540972,0.031651588096557784,0.031335748827355445
45,21910,21910,2322151.0,15072,33637.8285,42426.090000000004,750.3546187172373,0.02230686855179243,0.024906136125763683
46,4100,4100,422915.0,2823,35355.075000000004,43436.235,187.33937683685213,0.005298797325047453,0.04021029016698505
47,29806,29806,3107240.0,20682,33637.8285,42426.090000000004,710.0891100026972,0.021109837990960004,0.004969039949999517
48,120123,120123,13401529.0,85389,35355.075000000004,45456.525,0.0,0.0,0.0
49,15331,15331,1587747.0,9448,34344.93,49340.446919491544,346.6205840749896,0.01009233630917255,0.02339678396458839
50,3070,3070,313786.0,1926,36365.22,50507.25,1240.2030452703154,0.0341040985114435,0.028340781194927712
51,40871,40871,4245039.0,28767,40405.8,52527.54,0.0,0.0,0.0
53,36139,36139,3754723.0,24013,42426.090000000004,58588.41,761.1779693202069,0.017941270791633327,0.02667738327255515
54,7134,7134,742695.0,4788,31314.495000000003,40405.8,1246.9613886288664,0.039820581127968574,0.030402909144702745
55,28377,28377,2950221.0,19074,38385.51,49497.105,528.8816050429717,0.013778157566304882,0.013379549531991311
56,2755,2755,279136.0,1825,35567.35184782609,48992.0325,906.958552267128,0.0254997492123542,0.043656972972698015
