state_fips,state,year,k,u_k,wage_q,wage_q_se,cv
06,California,2019,1,0.02,1010.1450000000001,115.17425047867675,0.11401754250991367
06,California,2019,2,0.06,4040.5800000000004,22.5875288713152,0.005590169943749461
06,California,2019,3,0.1,7374.0585,234.91362592599003,0.031856761907434014
06,California,2019,4,0.14,10606.522500000001,292.76783526559046,0.027602622373694152
06,California,2019,5,0.18,14142.03,0.0,0.0
06,California,2019,6,0.22,17677.537500000002,306.58949933619044,0.01734345065517131
06,California,2019,7,0.26,20202.9,0.0,0.0
06,California,2019,8,0.3,24243.480000000003,199.4876535527332,0.008228507357554822
06,California,2019,9,0.34,25253.625,300.50752654586483,0.011899579824514889
06,California,2019,10,0.38,30304.350000000002,22.587528871315506,0.0007453559924999383
06,California,2019,11,0.42,32021.596500000003,562.0384366881624,0.017551855563733756
06,California,2019,12,0.46,35355.075000000004,0.0,0.0
06,California,2019,13,0.5,40405.8,0.0,0.0
06,California,2019,14,0.54,43436.235,45.17505774263101,0.0010400316174417744
06,California,2019,15,0.58,48486.96000000001,205.78218149912064,0.004244072664054843
06,California,2019,16,0.62,52527.54,0.0,0.0
06,California,2019,17,0.66,60608.700000000004,0.0,0.0
06,California,2019,18,0.7,65659.425,0.0,0.0
06,California,2019,19,0.74,73740.585,1024.6056369259873,0.013894731604393798
06,California,2019,20,0.78,80811.6,0.0,0.0
06,California,2019,21,0.82,93943.485,958.3076901092293,0.01020089567796244
06,California,2019,22,0.86,106065.225,1083.2598299479014,0.010213147899774892
06,California,2019,23,0.9,126268.12500000001,0.0,0.0
06,California,2019,24,0.94,161623.2,1705.3210328032824,0.010551214385083838
06,California,2019,25,0.98,252536.25000000003,1581.1270209920597,0.006260990336999379
36,New York,2019,1,0.02,1010.1450000000001,0.0,0.0
36,New York,2019,2,0.06,3636.5220000000004,127.77435868123155,0.035136418446315335
36,New York,2019,3,0.1,6970.0005,246.40084983820014,0.03535162584826215
36,New York,2019,4,0.14,10101.45,22.587528871315097,0.0022360679774997743
36,New York,2019,5,0.18,14546.088000000002,376.04253539594333,0.025851798462648054
36,New York,2019,6,0.22,18182.61,0.0,0.0
36,New York,2019,7,0.26,21011.016000000003,316.2254041984147,0.015050457540864023
36,New York,2019,8,0.3,25253.625,0.0,0.0
36,New York,2019,9,0.34,28284.06,0.0,0.0
36,New York,2019,10,0.38,30304.350000000002,0.0,0.0
36,New York,2019,11,0.42,35355.075000000004,0.0,0.0
36,New York,2019,12,0.46,39395.655000000006,525.8578530342313,0.013348118035713107
36,New York,2019,13,0.5,42325.075500000006,531.3796661505604,0.012554724589931572
36,New York,2019,14,0.54,46466.670000000006,202.0289999999994,0.004347826086956508
36,New York,2019,15,0.58,50507.25,0.0,0.0
36,New York,2019,16,0.62,55557.975000000006,1173.6824286764036,0.02112536370658584
36,New York,2019,17,0.66,60608.700000000004,0.0,0.0
36,New York,2019,18,0.7,68689.86,1188.0001583704693,0.017295131455654
36,New York,2019,19,0.74,75760.875,319.43589670307546,0.004216370213557795
36,New York,2019,20,0.78,80811.6,1121.239712893601,0.013874737202253155
36,New York,2019,21,0.82,90913.05,1134.3173778374135,0.012476947785135506
36,New York,2019,22,0.86,101014.5,1336.2962290576759,0.013228756555323008
36,New York,2019,23,0.9,121217.40000000001,391.2274762254707,0.003227486121839527
36,New York,2019,24,0.94,157582.62000000002,3357.9305381519202,0.021309015792172512
36,New York,2019,25,0.98,287891.325,9225.197687657412,0.03204402802917876
48,Texas,2019,1,0.02,1010.1450000000001,30.4628665963269,0.03015692459629746
48,Texas,2019,2,0.06,3333.4785,172.0214949060873,0.051604201108867896
48,Texas,2019,3,0.1,6060.870000000001,45.1750577426304,0.007453559924999281
48,Texas,2019,4,0.14,9798.406500000001,259.5109492635142,0.026485015626113714
48,Texas,2019,5,0.18,12121.740000000002,0.0,0.0
48,Texas,2019,6,0.22,15152.175000000001,0.0,0.0
48,Texas,2019,7,0.26,18182.61,329.249686158204,0.01810794413773402
48,Texas,2019,8,0.3,20606.958000000002,455.6744221870223,0.022112648659109328
48,Texas,2019,9,0.34,24243.480000000003,0.0,0.0
48,Texas,2019,10,0.38,26263.77,112.9376443565759,0.00430013072596112
48,Texas,2019,11,0.42,30304.350000000002,0.0,0.0
48,Texas,2019,12,0.46,32324.640000000003,436.23764139647955,0.013495514301055774
48,Texas,2019,13,0.5,35355.075000000004,0.0,0.0
48,Texas,2019,14,0.54,39799.713,764.9245450628334,0.01921934826672829
48,Texas,2019,15,0.58,42426.090000000004,0.0,0.0
48,Texas,2019,16,0.62,47476.815,487.5977344069861,0.010270228413742288
48,Texas,2019,17,0.66,50507.25,0.0,0.0
48,Texas,2019,18,0.7,55557.975000000006,0.0,0.0
48,Texas,2019,19,0.74,60608.700000000004,0.0,0.0
48,Texas,2019,20,0.78,67679.71500000001,1281.469018292918,0.018934314636119814
48,Texas,2019,21,0.82,75760.875,0.0,0.0
48,Texas,2019,22,0.86,86872.47,1190.9228177227656,0.01370886332255507
48,Texas,2019,23,0.9,101014.5,0.0,0.0
48,Texas,2019,24,0.94,129298.56000000001,2525.3624999999993,0.019531249999999993
48,Texas,2019,25,0.98,202029.0,0.0,0.0
