Location,Status of Medicaid Expansion Decision,Expansion Implementation Date,Expansion Adopted Through Ballot Initiative,Trigger Law In Place
United States,Adopted: 41 states (incl. DC) <br> Not Adopted: 10 states,,Yes: 7 states <br> No: 34 states (incl. DC) <br> Not Adopted: 10 states,Yes: 13 states <br> No: 28 states (incl. DC) <br> Not Adopted: 10 states
Alabama,Not Adopted,,,
Alaska,Adopted,9/1/2015,No,No
Arizona,Adopted,1/1/2014,No,Yes
Arkansas,Adopted,1/1/2014,No,Yes
California,Adopted,1/1/2014,No,No
Colorado,Adopted,1/1/2014,No,No
Connecticut,Adopted,1/1/2014,No,No
Delaware,Adopted,1/1/2014,No,No
District of Columbia,Adopted,1/1/2014,No,No
Florida,Not Adopted,,,
Georgia,Not Adopted,,,
Hawaii,Adopted,1/1/2014,No,No
Idaho,Adopted,1/1/2020,Yes (November 2018),Yes
Illinois,Adopted,1/1/2014,No,Yes
Indiana,Adopted,2/1/2015,No,Yes
Iowa,Adopted,1/1/2014,No,Yes
Kansas,Not Adopted,,,
Kentucky,Adopted,1/1/2014,No,No
Louisiana,Adopted,7/1/2016,No,No
Maine,Adopted,1/10/2019,Yes (November 2017),No
Maryland,Adopted,1/1/2014,No,No
Massachusetts,Adopted,1/1/2014,No,No
Michigan,Adopted,4/1/2014,No,No
Minnesota,Adopted,1/1/2014,No,No
Mississippi,Not Adopted,,,
Missouri,Adopted,10/1/2021,Yes (August 2020),No
Montana,Adopted,1/1/2016,No,Yes
Nebraska,Adopted,10/1/2020,Yes (November 2018),No
Nevada,Adopted,1/1/2014,No,No
New Hampshire,Adopted,8/15/2014,No,Yes
New Jersey,Adopted,1/1/2014,No,No
New Mexico,Adopted,1/1/2014,No,Yes
New York,Adopted,1/1/2014,No,No
North Carolina,Adopted,12/1/2023,No,Yes
North Dakota,Adopted,1/1/2014,No,No
Ohio,Adopted,1/1/2014,No,Yes
Oklahoma,Adopted,7/1/2021,Yes (June 2020),No
Oregon,Adopted,1/1/2014,No,No
Pennsylvania,Adopted,1/1/2015,No,No
Rhode Island,Adopted,1/1/2014,No,No
South Carolina,Not Adopted,,,
South Dakota,Adopted,7/1/2023,Yes (November 2022),No
Tennessee,Not Adopted,,,
Texas,Not Adopted,,,
Utah,Adopted,1/1/2020,Yes (November 2018),Yes
Vermont,Adopted,1/1/2014,No,No
Virginia,Adopted,1/1/2019,No,Yes
Washington,Adopted,1/1/2014,No,No
West Virginia,Adopted,1/1/2014,No,No
Wisconsin,Not Adopted,,,
Wyoming,Not Adopted,,,
