year,state_fips,k,u_k,earnwke_q
2010,1,1,0.02,85.29017240534712
2010,1,2,0.06,160.0
2010,1,3,0.1,218.4716146961423
2010,1,4,0.14,270.0
2010,1,5,0.18,300.0
2010,1,6,0.22,340.0
2010,1,7,0.26,375.193835081634
2010,1,8,0.3,400.0
2010,1,9,0.34,420.0
2010,1,10,0.38,461.53
2010,1,11,0.42,500.0
2010,1,12,0.46,523.8981171699437
2010,1,13,0.5,570.0
2010,1,14,0.54,600.0
2010,1,15,0.58,673.07
2010,1,16,0.62,719.7689181189734
2010,1,17,0.66,780.0320558435697
2010,1,18,0.7,855.7107042757096
2010,1,19,0.74,900.0
2010,1,20,0.78,961.0
2010,1,21,0.82,1019.1538206185862
2010,1,22,0.86,1153.84
2010,1,23,0.9,1269.1074906578722
2010,1,24,0.94,1623.4339843633898
2010,1,25,0.98,2195.209037623119
2010,2,1,0.02,75.0
2010,2,2,0.06,169.89384988840757
2010,2,3,0.1,250.0
2010,2,4,0.14,319.1986374017576
2010,2,5,0.18,370.0
2010,2,6,0.22,410.0
2010,2,7,0.26,461.0
2010,2,8,0.3,500.0
2010,2,9,0.34,550.0
2010,2,10,0.38,588.8547309895847
2010,2,11,0.42,611.9799216671618
2010,2,12,0.46,673.2674382657505
2010,2,13,0.5,720.0
2010,2,14,0.54,775.2
2010,2,15,0.58,845.6190448816402
2010,2,16,0.62,900.0
2010,2,17,0.66,961.0
2010,2,18,0.7,1021.7956107964596
2010,2,19,0.74,1134.479399012727
2010,2,20,0.78,1236.5207399946996
2010,2,21,0.82,1384.61
2010,2,22,0.86,1536.456692536129
2010,2,23,0.9,1826.92
2010,2,24,0.94,2202.9399824835355
2010,2,25,0.98,2884.61
2010,4,1,0.02,100.0
2010,4,2,0.06,193.0
2010,4,3,0.1,248.4369278707883
2010,4,4,0.14,300.0
2010,4,5,0.18,338.79186425282217
2010,4,6,0.22,380.0
2010,4,7,0.26,400.0
2010,4,8,0.3,440.0
2010,4,9,0.34,480.0
2010,4,10,0.38,520.0
2010,4,11,0.42,560.0
2010,4,12,0.46,600.0
2010,4,13,0.5,640.0
2010,4,14,0.54,692.0
2010,4,15,0.58,750.0
2010,4,16,0.62,785.4140261883605
2010,4,17,0.66,840.0
2010,4,18,0.7,909.0
2010,4,19,0.74,979.4260071631921
2010,4,20,0.78,1091.4652070535526
2010,4,21,0.82,1211.53
2010,4,22,0.86,1390.8456095897675
2010,4,23,0.9,1606.5015377702748
2010,4,24,0.94,1923.07
2010,4,25,0.98,2884.5946171802593
2010,5,1,0.02,96.01579706247227
2010,5,2,0.06,159.366859712904
2010,5,3,0.1,226.23635062398247
2010,5,4,0.14,280.0
2010,5,5,0.18,307.69
2010,5,6,0.22,346.6086664531149
2010,5,7,0.26,370.0
2010,5,8,0.3,400.0
2010,5,9,0.34,410.0
2010,5,10,0.38,450.0
2010,5,11,0.42,480.0
2010,5,12,0.46,509.0821713989671
2010,5,13,0.5,550.0
2010,5,14,0.54,576.92
2010,5,15,0.58,604.6420300603514
2010,5,16,0.62,646.15
2010,5,17,0.66,700.0
2010,5,18,0.7,760.0
2010,5,19,0.74,807.6176849061337
2010,5,20,0.78,880.0
2010,5,21,0.82,961.53
