"method","seed","target","rmse_mu","pehe_tau","rmse_y","runtime_seconds","propensity_method"
"MVBCF",1,1,1.84301637464661,0.493910527687206,5.24319322664743,23.3110864162445,"bart"
"MVBCF",1,2,1.85440024841569,0.230606066592782,5.2435109040925,23.3110864162445,"bart"
"BCF-univariate",1,1,1.94975818497361,0.320729078185691,5.24950002713799,16.9280459880829,"bart"
"BCF-univariate",1,2,1.83645248780565,0.531687665299158,5.30354742842659,18.2084324359894,"bart"
"MVBCF",2,1,1.7177921727767,0.111505225308899,5.24227243302363,23.7117192745209,"bart"
"MVBCF",2,2,1.54303883463278,0.241227677555163,5.01544220051826,23.7117192745209,"bart"
"BCF-univariate",2,1,1.95225053553193,0.115645350331485,5.29574655577075,49.4322633743286,"bart"
"BCF-univariate",2,2,1.86615191026834,0.140444814781316,5.15045145851675,-13.3127954006195,"bart"
"MVBCF",3,1,1.74487980057922,0.183853373180935,4.35282231808709,22.9031653404236,"bart"
"MVBCF",3,2,1.61507272909993,0.138811343412974,4.43039523866209,22.9031653404236,"bart"
"BCF-univariate",3,1,1.7352424588475,0.326807076807268,4.28641331747558,24.4078063964844,"bart"
"BCF-univariate",3,2,1.75777100224216,0.0798441633905686,4.49607765943046,50.6208002567291,"bart"
"MVBCF",4,1,1.51760516152429,0.408318204512108,3.89136797519797,23.439044713974,"bart"
"MVBCF",4,2,1.44662675741637,0.775802185904794,3.85067373146971,23.439044713974,"bart"
"BCF-univariate",4,1,1.64170248521639,0.121422444507626,4.00599315321105,21.4399116039276,"bart"
"BCF-univariate",4,2,1.77516043032542,0.840475087704817,3.96567717418654,18.459178686142,"bart"
"MVBCF",5,1,2.0250809036321,0.983227836351555,4.84118948148515,23.0948903560638,"bart"
"MVBCF",5,2,2.18051207438088,0.68888924600901,5.12085107790169,23.0948903560638,"bart"
"BCF-univariate",5,1,1.9812193880455,1.01547155765485,4.82842378029742,21.2557530403137,"bart"
"BCF-univariate",5,2,2.13861215641609,1.00498790953208,5.05341431929401,18.5985715389252,"bart"
"MVBCF",6,1,1.77385196126147,0.407218053149363,4.72843210229192,23.2733705043793,"bart"
"MVBCF",6,2,1.74487003320975,0.172416890717888,4.67165423384811,23.2733705043793,"bart"
"BCF-univariate",6,1,1.91283528088691,0.824233243365485,4.81716322453352,16.2520864009857,"bart"
"BCF-univariate",6,2,2.01065035740668,0.527632501682541,4.79848706866275,18.7442529201508,"bart"
"MVBCF",7,1,1.39417182303601,0.570084421300995,4.60234561921254,25.9732739925385,"bart"
"MVBCF",7,2,1.48158894736034,0.652488870017174,4.53421839482469,25.9732739925385,"bart"
"BCF-univariate",7,1,1.71371148834742,0.585747785483287,4.6687340755753,11.9275944232941,"bart"
"BCF-univariate",7,2,1.70764883892305,0.605040299374315,4.54293943808169,12.9992935657501,"bart"
"MVBCF",8,1,1.70770616486802,0.200905987334136,4.45572613507226,26.0237953662872,"bart"
"MVBCF",8,2,1.57360944160569,0.254840705562783,4.76694750579163,26.0237953662872,"bart"
"BCF-univariate",8,1,1.81177499425449,0.27153301684475,4.52562050230795,12.1417987346649,"bart"
"BCF-univariate",8,2,1.64581214850846,0.180155359622133,4.81029028966584,14.7306232452393,"bart"
"MVBCF",9,1,1.36892412263182,0.373518726833697,4.05060699342506,25.6179738044739,"bart"
"MVBCF",9,2,1.31358495423711,0.25447302153408,3.81831566766134,25.6179738044739,"bart"
"BCF-univariate",9,1,1.45755818702595,0.483307898644701,4.07409170737942,12.1669347286224,"bart"
"BCF-univariate",9,2,1.42184949070999,0.337771224798976,3.87569378805396,12.4668333530426,"bart"
"MVBCF",10,1,1.57875559807628,0.334651426047026,3.86217321897182,-6.86324906349182,"bart"
"MVBCF",10,2,1.41531954606519,0.17628235324534,3.87650945170177,-6.86324906349182,"bart"
"BCF-univariate",10,1,1.78267216089096,0.475997615659145,4.03781193407595,12.5771191120148,"bart"
"BCF-univariate",10,2,1.65571440742953,0.0315047416899101,4.04189854322669,15.379132270813,"bart"
"MVBCF",11,1,1.97266883274957,1.31028221803805,4.92921091037036,26.3269484043121,"bart"
"MVBCF",11,2,1.74563078560355,0.590241557689777,4.47324571757082,26.3269484043121,"bart"
"BCF-univariate",11,1,2.07900813919342,1.00913596847842,4.9801768700972,12.9271099567413,"bart"
"BCF-univariate",11,2,1.79945818476966,0.788790703154203,4.50363426059543,12.1834342479706,"bart"
"MVBCF",12,1,1.76623060897268,0.538792270922095,4.40445338165947,-6.45436525344849,"bart"
"MVBCF",12,2,1.73122277919619,0.37276297746107,4.6425106654579,-6.45436525344849,"bart"
"BCF-univariate",12,1,1.91980685462622,0.569857347882272,4.50919646552518,12.3514552116394,"bart"
"BCF-univariate",12,2,1.79529344109761,0.691874848558558,4.62225935609986,15.8347434997559,"bart"
"MVBCF",13,1,1.51492954720979,0.335866861285895,3.85198698251884,58.9747114181519,"bart"
"MVBCF",13,2,1.52795735931986,0.303238121863466,3.84543146891591,58.9747114181519,"bart"
"BCF-univariate",13,1,1.63596407651025,0.347076663191414,3.9558798275119,-20.0654077529907,"bart"
"BCF-univariate",13,2,1.54076637471624,0.197852183286475,3.80748322562684,14.4766125679016,"bart"
"MVBCF",14,1,1.71213111344051,0.654121143172351,4.56724633911273,26.8298497200012,"bart"
"MVBCF",14,2,1.8184790839125,0.438652132162465,4.48001396815342,26.8298497200012,"bart"
"BCF-univariate",14,1,1.96772281683937,1.62764869792035,4.72725040966126,16.520711183548,"bart"
"BCF-univariate",14,2,2.0046464997892,0.334556299446563,4.56129102216597,14.0652666091919,"bart"
"MVBCF",15,1,1.7708972513291,0.174638578316303,5.06883775802965,-6.25679111480713,"bart"
"MVBCF",15,2,1.75686180271606,1.22518133849654,5.2100541970845,-6.25679111480713,"bart"
"BCF-univariate",15,1,1.97628756049526,0.528371152563869,5.16791847207988,12.8115918636322,"bart"
"BCF-univariate",15,2,1.87948981089536,1.44265967398929,5.3396074125144,19.0183930397034,"bart"
"MVBCF",16,1,1.53198778632731,0.289706888695029,4.29813340937078,26.8096287250519,"bart"
"MVBCF",16,2,1.63230232613966,0.287238645351471,4.6809165200194,26.8096287250519,"bart"
"BCF-univariate",16,1,1.4304291543925,0.45271522651207,4.26513145791772,18.7193348407745,"bart"
"BCF-univariate",16,2,1.58668079307146,0.70276906993245,4.74058205458868,13.7224698066711,"bart"
"MVBCF",17,1,1.69992730816111,0.307811797769134,4.51063108667912,26.3684396743774,"bart"
"MVBCF",17,2,1.66007617118294,0.284845084606884,4.77855391490272,26.3684396743774,"bart"
"BCF-univariate",17,1,2.0441694650195,0.215235150429183,4.6750095102877,13.0430176258087,"bart"
"BCF-univariate",17,2,1.80052733166631,0.352971470694983,4.82466493795588,13.2130150794983,"bart"
"MVBCF",18,1,1.64449587799844,0.573619545950615,4.27672072774803,26.7099976539612,"bart"
"MVBCF",18,2,1.71451672133187,0.251300659339742,4.17923631727371,26.7099976539612,"bart"
"BCF-univariate",18,1,1.76489499624592,0.648462086089155,4.30267507722889,12.1195809841156,"bart"
"BCF-univariate",18,2,1.94610961999363,0.376673996445164,4.31466064009999,13.8876361846924,"bart"
"MVBCF",19,1,1.56030251017696,0.225410513514409,4.057103737721,28.0308613777161,"bart"
"MVBCF",19,2,1.63269423351158,0.238301908867533,4.19005325442859,28.0308613777161,"bart"
"BCF-univariate",19,1,2.06400596897203,1.1399832613058,4.18603362992631,12.5836837291718,"bart"
"BCF-univariate",19,2,1.724839848643,0.301471785352877,4.23433535006034,15.9207375049591,"bart"
