"method","seed","target","rmse_mu","pehe_tau","rmse_y","runtime_seconds"
"MVBCF",1,1,1.84080732239059,0.764426222798021,5.28262635558752,23.591539144516
"MVBCF",1,2,1.77148783565562,0.25224290767078,5.28086238870424,23.591539144516
"BCF-univariate",1,1,2.02539070633623,0.760977900843068,5.28528416378562,24.8301842212677
"BCF-univariate",1,2,1.76762223190463,0.193354249852824,5.28738034947169,19.3289828300476
"MVBCF",2,1,1.62277328077879,0.298012157599569,5.2686884355064,23.7266383171082
"MVBCF",2,2,1.70284762787654,0.304119755362017,5.13300484776147,23.7266383171082
"BCF-univariate",2,1,1.94805703890036,0.380875814570998,5.4001466498826,24.3226916790009
"BCF-univariate",2,2,1.80936106873576,0.620009725217391,5.16428062810058,13.3153820037842
"MVBCF",3,1,1.72738396669158,0.526435034412754,4.28359372541973,23.694727897644
"MVBCF",3,2,1.56117044838049,0.529717614880772,4.34100951440293,23.694727897644
"BCF-univariate",3,1,1.94613378414262,0.514440504485758,4.33257191814989,56.7440347671509
"BCF-univariate",3,2,1.71454604266159,0.347664863737679,4.383990243626,-13.1594777107239
"MVBCF",4,1,1.49997639229776,0.650615351955266,3.86616413222962,23.7829864025116
"MVBCF",4,2,1.46110215488686,0.927369064382982,3.87452302246505,23.7829864025116
"BCF-univariate",4,1,1.6690641542046,0.490989453970609,3.85040411083733,23.7864429950714
"BCF-univariate",4,2,1.54765736212448,1.04874307642268,3.863252181249,19.217559337616
"MVBCF",5,1,1.88923743738239,1.13252415458337,4.7828138487703,23.6568310260773
"MVBCF",5,2,1.87353741909021,0.352955154677383,4.98346863989511,23.6568310260773
"BCF-univariate",5,1,2.02986202525812,1.33051384700176,4.84077619296141,24.7360105514526
"BCF-univariate",5,2,2.03677714875469,0.504422620191084,5.03700711528499,19.2062938213348
"MVBCF",6,1,1.80238927310454,0.405954130200042,4.74914147169961,23.2681872844696
"MVBCF",6,2,1.79464529640797,0.280567994339091,4.63453169378302,23.2681872844696
"BCF-univariate",6,1,1.87923291796156,0.546186410201912,4.71125032671368,24.2813160419464
"BCF-univariate",6,2,2.04851502422185,0.334675212027577,4.77591267225694,19.2763545513153
"MVBCF",7,1,1.44696424863246,0.592390752895853,4.56438754413292,23.8190922737122
"MVBCF",7,2,1.70715979841231,0.614102427456832,4.56582220070874,23.8190922737122
"BCF-univariate",7,1,1.55522657484402,0.973672783198985,4.60173623206729,17.2566492557526
"BCF-univariate",7,2,1.71777723319227,0.710191168386537,4.60705688120969,12.8575975894928
"MVBCF",8,1,1.9443432296193,0.422952365149259,4.51477881879637,23.6435928344727
"MVBCF",8,2,1.77762954838531,0.525250977289022,4.85216214168568,23.6435928344727
"BCF-univariate",8,1,1.89854225471555,0.466384693495364,4.45707011532232,16.9556877613068
"BCF-univariate",8,2,1.60727921712029,0.744260020726441,4.74103224813187,12.7123889923096
"MVBCF",9,1,1.38269498086913,0.151570260953776,4.09950936510612,23.7031896114349
"MVBCF",9,2,1.31716406118738,0.270071192601439,3.80950440804073,23.7031896114349
"BCF-univariate",9,1,1.50318380346614,0.28204530136369,4.09400385088143,17.7102220058441
"BCF-univariate",9,2,1.44095615691423,0.457957192763396,3.90642438210548,12.9822866916656
