paper_dgp,dgp,method,metric,target_id,detail,arm,estimate,mc_se,n_replications,aggregation
LS0,IC0,causal_drf,aipw_reference_tate_abs_error,REF-ATE-K,aipw reference contrast; marginal absolute error,,0.017771181120339694,0.0014433703898454218,50,root_mean_square_over_replications
LS0,IC0,causal_drf,aipw_reference_tate_estimate,REF-ATE-K,aipw reference contrast; marginal estimate,,-0.0032424726756700543,0.0024961245445749725,50,mean_over_replications
LS0,IC0,causal_drf,aipw_reference_tate_oracle,REF-ATE-K,aipw reference contrast; test-design oracle,,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_reference_tcate_estimate,REF-TCATE-K,"aipw; moderator bin 0; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.004910168074918119,0.0062971447624282665,50,mean_over_replications
LS0,IC0,causal_drf,aipw_reference_tcate_estimate,REF-TCATE-K,"aipw; moderator bin 1; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.012066712548880093,0.006368700866922409,50,mean_over_replications
LS0,IC0,causal_drf,aipw_reference_tcate_estimate,REF-TCATE-K,"aipw; moderator bin 2; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.004725989437730845,0.006113278257325372,50,mean_over_replications
LS0,IC0,causal_drf,aipw_reference_tcate_estimate,REF-TCATE-K,"aipw; moderator bin 3; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.009831979095666065,0.006941973336504591,50,mean_over_replications
LS0,IC0,causal_drf,aipw_reference_tcate_oracle,REF-TCATE-K,"aipw; oracle moderator bin 0; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_reference_tcate_oracle,REF-TCATE-K,"aipw; oracle moderator bin 1; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_reference_tcate_oracle,REF-TCATE-K,"aipw; oracle moderator bin 2; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_reference_tcate_oracle,REF-TCATE-K,"aipw; oracle moderator bin 3; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_reference_tcate_rmse,REF-TCATE-K,"aipw reference contrast; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.04585798166893647,0.0022660322212722022,50,root_mean_square_over_replications
LS0,IC0,causal_drf,aipw_tate_abs_error,TATE-K-grid_mean,aipw functional contrast; marginal absolute error,,0.017994383342797713,0.0016779706248998948,50,root_mean_square_over_replications
LS0,IC0,causal_drf,aipw_tate_abs_error,TATE-K-grid_sd,aipw functional contrast; marginal absolute error,,0.012852437499712249,0.0011769364362105694,50,root_mean_square_over_replications
LS0,IC0,causal_drf,aipw_tate_abs_error,TATE-K-grid_skewness,aipw functional contrast; marginal absolute error,,0.004313568344343619,0.0005169931699808563,50,root_mean_square_over_replications
LS0,IC0,causal_drf,aipw_tate_abs_error,TATE-K-grid_upper_tail_mean,aipw functional contrast; marginal absolute error,,0.019234622283071157,0.002229480020480462,50,root_mean_square_over_replications
LS0,IC0,causal_drf,aipw_tate_estimate,TATE-K-grid_mean,aipw functional contrast; marginal estimate,,0.0044964391015049,0.002489077639567757,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tate_estimate,TATE-K-grid_sd,aipw functional contrast; marginal estimate,,5.047758271687474e-05,0.001836048339242115,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tate_estimate,TATE-K-grid_skewness,aipw functional contrast; marginal estimate,,-0.0013328176760939658,0.000586070778333666,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tate_estimate,TATE-K-grid_upper_tail_mean,aipw functional contrast; marginal estimate,,0.00464444519632624,0.002666495916606736,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tate_oracle,TATE-K-grid_mean,aipw functional contrast; test-design oracle,,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tate_oracle,TATE-K-grid_sd,aipw functional contrast; test-design oracle,,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tate_oracle,TATE-K-grid_skewness,aipw functional contrast; test-design oracle,,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tate_oracle,TATE-K-grid_upper_tail_mean,aipw functional contrast; test-design oracle,,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_mean,"aipw; moderator bin 0; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.0028015950974170957,0.006590259947497224,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_mean,"aipw; moderator bin 1; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.015577543520355263,0.007336237617396675,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_mean,"aipw; moderator bin 2; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.009042525840528677,0.007196181782045494,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_mean,"aipw; moderator bin 3; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.013170741183532165,0.008452041124134942,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_sd,"aipw; moderator bin 0; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0019016564342487002,0.00309149914348059,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_sd,"aipw; moderator bin 1; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.001032594384379813,0.003535529893930735,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_sd,"aipw; moderator bin 2; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.004370687811341411,0.003345083487372638,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_sd,"aipw; moderator bin 3; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.003270517325633966,0.0031381664678457196,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_skewness,"aipw; moderator bin 0; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.0017863441598011832,0.0021382487095871487,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_skewness,"aipw; moderator bin 1; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.00205480026397474,0.002216300013120997,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_skewness,"aipw; moderator bin 2; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0020945717536747853,0.00239262040477843,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_skewness,"aipw; moderator bin 3; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.0032872210299140143,0.0025465472801934398,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_upper_tail_mean,"aipw; moderator bin 0; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.001378280756399148,0.00656023755671073,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_upper_tail_mean,"aipw; moderator bin 1; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.015083998125866466,0.007540007724378761,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_upper_tail_mean,"aipw; moderator bin 2; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,-0.012243536987893076,0.007778080589792599,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_estimate,TCATE-K-grid_upper_tail_mean,"aipw; moderator bin 3; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.015710297332360866,0.009128545228341852,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_mean,"aipw; oracle moderator bin 0; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_mean,"aipw; oracle moderator bin 1; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_mean,"aipw; oracle moderator bin 2; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_mean,"aipw; oracle moderator bin 3; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_sd,"aipw; oracle moderator bin 0; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_sd,"aipw; oracle moderator bin 1; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_sd,"aipw; oracle moderator bin 2; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_sd,"aipw; oracle moderator bin 3; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_skewness,"aipw; oracle moderator bin 0; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_skewness,"aipw; oracle moderator bin 1; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_skewness,"aipw; oracle moderator bin 2; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_skewness,"aipw; oracle moderator bin 3; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_upper_tail_mean,"aipw; oracle moderator bin 0; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_upper_tail_mean,"aipw; oracle moderator bin 1; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_upper_tail_mean,"aipw; oracle moderator bin 2; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_oracle,TCATE-K-grid_upper_tail_mean,"aipw; oracle moderator bin 3; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.0,0.0,50,mean_over_replications
LS0,IC0,causal_drf,aipw_tcate_rmse,TCATE-K-grid_mean,"aipw functional contrast; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.05317181478965158,0.0024496553591411173,50,root_mean_square_over_replications
LS0,IC0,causal_drf,aipw_tcate_rmse,TCATE-K-grid_sd,"aipw functional contrast; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.02316321047532489,0.0012314974211612086,50,root_mean_square_over_replications
LS0,IC0,causal_drf,aipw_tcate_rmse,TCATE-K-grid_skewness,"aipw functional contrast; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,0.01647417745261316,0.0010579056682735797,50,root_mean_square_over_replications
