paper_dgp,dgp,metric,target_id,detail,arm,method_left,method_right,rmse_difference,paired_mc_se,ci95_low,ci95_high,n_pairs
LS0,IC0,aipw_reference_tate_abs_error,REF-ATE-K,aipw reference contrast; marginal absolute error,,causal_drf,cwdb_dr,0.0021763659454349417,0.001533649203553317,-0.0008295864935295594,0.005182318384399443,50
LS0,IC0,aipw_reference_tate_abs_error,REF-ATE-K,aipw reference contrast; marginal absolute error,,causal_drf,drf,-0.0001485407844142861,0.00039061413939404466,-0.0009141444976266136,0.0006170629287980414,50
LS0,IC0,aipw_reference_tate_abs_error,REF-ATE-K,aipw reference contrast; marginal absolute error,,cwdb_dr,drf,-0.0023249067298492278,0.0016902875783513316,-0.005637870383417837,0.000988056923719382,50
LS0,IC0,aipw_reference_tcate_rmse,REF-TCATE-K,"aipw reference contrast; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_dr,0.013733210901535196,0.002311510382378798,0.009202650552072752,0.01826377125099764,50
LS0,IC0,aipw_reference_tcate_rmse,REF-TCATE-K,"aipw reference contrast; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.006945467375638115,0.0007952257644974582,-0.008504109874053133,-0.005386824877223096,50
LS0,IC0,aipw_reference_tcate_rmse,REF-TCATE-K,"aipw reference contrast; RMSE over four strata of X1 with edges (-0.5, 0.0, 0.5)",,cwdb_dr,drf,-0.02067867827717331,0.0027795830466477017,-0.026126661048602805,-0.015230695505743816,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_mean,aipw functional contrast; marginal absolute error,,causal_drf,cwdb_dr,0.0027753189399486802,0.0017542548210712243,-0.0006630205093509194,0.00621365838924828,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_mean,aipw functional contrast; marginal absolute error,,causal_drf,drf,-0.00025425092327501647,0.0004433374141316439,-0.0011231922549730384,0.0006146904084230055,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_mean,aipw functional contrast; marginal absolute error,,cwdb_dr,drf,-0.0030295698632236967,0.0018956543332644548,-0.006745052356422028,0.0006859126299746344,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_sd,aipw functional contrast; marginal absolute error,,causal_drf,cwdb_dr,-0.00021629664412417537,0.0010058837818019363,-0.0021878288564559705,0.0017552355682076198,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_sd,aipw functional contrast; marginal absolute error,,causal_drf,drf,-5.215949880572196e-05,6.01035391250851e-05,-0.00016996243549088875,6.564343787944483e-05,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_sd,aipw functional contrast; marginal absolute error,,cwdb_dr,drf,0.00016413714531845341,0.001024313620437007,-0.00184351755073808,0.0021717918413749868,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_skewness,aipw functional contrast; marginal absolute error,,causal_drf,cwdb_dr,0.00019807668401943933,0.0006517388834624033,-0.001079331527566871,0.0014754848956057497,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_skewness,aipw functional contrast; marginal absolute error,,causal_drf,drf,-0.00023341024858770498,0.00017175610224013052,-0.0005700522089783608,0.00010323171180295085,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_skewness,aipw functional contrast; marginal absolute error,,cwdb_dr,drf,-0.0004314869326071443,0.0007341547722158107,-0.0018704302861501333,0.0010074564209358447,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_upper_tail_mean,aipw functional contrast; marginal absolute error,,causal_drf,cwdb_dr,0.001837332331599724,0.0016768622618149986,-0.0014493177015576734,0.005123982364757121,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_upper_tail_mean,aipw functional contrast; marginal absolute error,,causal_drf,drf,-0.0004424430226150425,0.0004208716455213686,-0.001267351447836925,0.0003824654026068399,50
LS0,IC0,aipw_tate_abs_error,TATE-K-grid_upper_tail_mean,aipw functional contrast; marginal absolute error,,cwdb_dr,drf,-0.0022797753542147664,0.001771894679760671,-0.005752688926545681,0.0011931382181161487,50
