paper_dgp,dgp,n_train,n_grid,n_particles,method,metric,target_id,mean,mc_sd,n_replications,mc_se
Z0,ZI0,125,25,10,cwdb_zipt,arm_energy_risk,LAW-A-M-K,0.24823496553269236,0.0016117627507715355,2,0.001139688370734436
Z0,ZI0,125,25,10,cwdb_zipt,barycenter_rmse,MEANQ-A-K,1.0811698079546757,0.027619975959812196,2,0.019530272297392626
Z0,ZI0,125,25,10,cwdb_zipt,diagnostic_classifier_constant_arm0,NONE_OPERATIONAL,0.0,,1,
Z0,ZI0,125,25,10,cwdb_zipt,diagnostic_classifier_constant_arm1,NONE_OPERATIONAL,0.0,,1,
Z0,ZI0,125,25,10,cwdb_zipt,diagnostic_effective_support,NONE_OPERATIONAL,4.981420911897376,,1,
Z0,ZI0,125,25,10,cwdb_zipt,diagnostic_positive_rate_arm0,NONE_OPERATIONAL,0.32038721717850716,,1,
Z0,ZI0,125,25,10,cwdb_zipt,diagnostic_positive_rate_arm1,NONE_OPERATIONAL,0.6812816644130786,,1,
Z0,ZI0,125,25,10,cwdb_zipt,diagnostic_selected_contrast_shrinkage,NONE_OPERATIONAL,500.0,,1,
Z0,ZI0,125,25,10,cwdb_zipt,diagnostic_train_risk,NONE_OPERATIONAL,0.01905404065108921,,1,
Z0,ZI0,125,25,10,cwdb_zipt,kernel_law_error,LAW-A-K,0.11000420929245493,0.007880375747224286,2,0.0055722671291602984
Z0,ZI0,125,25,10,cwdb_zipt,mass_contrast_rmse,LAW-A-K,0.38771386738386254,,1,
Z0,ZI0,125,25,10,cwdb_zipt,mean_quantile_rmse,MEANQ-A-K,1.9299254645959998,,1,
Z0,ZI0,125,25,10,cwdb_zipt,mode_coverage,LAW-A-K,0.8725,0.1803122292025696,2,0.12749999999999997
Z0,ZI0,125,25,10,cwdb_zipt,peak_ram,NONE_OPERATIONAL,23.06640625,,1,
Z0,ZI0,125,25,10,cwdb_zipt,process_peak_ram,NONE_OPERATIONAL,279.8984375,,1,
Z0,ZI0,125,25,10,cwdb_zipt,reference_effect_rmse,REF-ATE-K,0.859509535436191,,1,
Z0,ZI0,125,25,10,cwdb_zipt,reference_tcate_rmse,REF-TCATE-K,0.9222744930404727,,1,
Z0,ZI0,125,25,10,cwdb_zipt,runtime,NONE_OPERATIONAL,10.544002064008964,,1,
Z0,ZI0,125,25,10,cwdb_zipt,tail_calibration,LAW-A-K,0.18435500190415616,0.0030501861684490363,2,0.0021568073235917265
Z0,ZI0,125,25,10,cwdb_zipt,tate_functional_rmse,TATE-K-grid_mean,1.6864729010616835,,1,
Z0,ZI0,125,25,10,cwdb_zipt,tate_functional_rmse,TATE-K-grid_sd,0.4046705371642046,,1,
Z0,ZI0,125,25,10,cwdb_zipt,tate_functional_rmse,TATE-K-grid_skewness,0.4825332035013934,,1,
Z0,ZI0,125,25,10,cwdb_zipt,tate_functional_rmse,TATE-K-grid_upper_tail_mean,1.9622801171814503,,1,
Z0,ZI0,125,25,10,cwdb_zipt,tcate_functional_rmse,TCATE-K-grid_mean,1.8104654244393692,,1,
Z0,ZI0,125,25,10,cwdb_zipt,tcate_functional_rmse,TCATE-K-grid_sd,0.4362046397603164,,1,
Z0,ZI0,125,25,10,cwdb_zipt,tcate_functional_rmse,TCATE-K-grid_skewness,0.5175949760185209,,1,
Z0,ZI0,125,25,10,cwdb_zipt,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,2.107835119311249,,1,
Z0,ZI0,125,25,10,cwdb_zipt,zero_mass_abs_error,LAW-A-K,0.22532679918356482,0.002342162247626181,2,0.0016561588079355982
