grid,dgp,n_train,n_grid,n_particles,method,seed,metric,target_id,value,n_arm_rows,wall_seconds
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,arm_energy_risk,LAW-A-M-K,0.08664614014813837,2,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,barycenter_rmse,MEANQ-A-K,0.28924901009706705,2,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,diagnostic_effective_support,NONE_OPERATIONAL,89.66335259000246,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,kernel_law_error,LAW-A-COMMON199,0.08318551697666847,2,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,kernel_law_error,LAW-A-INTERIOR,0.07305161970164749,2,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,kernel_law_error,LAW-A-K,0.0735767922390416,2,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,mean_quantile_rmse,MEANQ-A-COMMON199,0.264969676789842,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,mean_quantile_rmse,MEANQ-A-INTERIOR,0.26489648165983243,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,mean_quantile_rmse,MEANQ-A-K,0.2649706484375628,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,mode_coverage,LAW-A-K,1.0,2,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,peak_ram,NONE_OPERATIONAL,304.9375,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,process_peak_ram,NONE_OPERATIONAL,205.3125,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,reference_effect_rmse,REF-ATE-COMMON199,0.0694380741336573,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,reference_effect_rmse,REF-ATE-K,0.0689972080645303,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,reference_tcate_rmse,REF-TCATE-COMMON199,0.08386599430104978,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,reference_tcate_rmse,REF-TCATE-INTERIOR,0.08867808887848719,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,reference_tcate_rmse,REF-TCATE-K,0.08353926605915325,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,runtime,NONE_OPERATIONAL,20.542,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tail_calibration,LAW-A-K,0.045065974386689425,2,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tate_functional_rmse,TATE-COMMON199-grid_mean,0.2265223685934574,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tate_functional_rmse,TATE-COMMON199-grid_sd,0.007800023929016811,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tate_functional_rmse,TATE-COMMON199-grid_skewness,6.095221847798893e-17,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tate_functional_rmse,TATE-COMMON199-grid_upper_tail_mean,0.22023019198507843,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tate_functional_rmse,TATE-K-grid_mean,0.22652236859345742,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tate_functional_rmse,TATE-K-grid_sd,0.00782763576259058,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tate_functional_rmse,TATE-K-grid_skewness,1.3365974081948895e-17,1,23.67120738000085
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,0,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.22044164236449765,1,23.67120738000085
