dgp,n_train,metric,target_id,method_a,coords_a,method_b,coords_b,n_pairs,mean_a,mean_b,delta_b_minus_a,mc_se,relative_pct,t_like
IC0,1000,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.031043,0.030635,-0.000409,0.001634,-1.32,-0.25
IC1,1000,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.033096,0.031659,-0.001437,0.001248,-4.34,-1.15
IC2,1000,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.031995,0.031102,-0.000893,0.001402,-2.79,-0.64
IC3,1000,reference_tcate_rmse,REF-TCATE-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.064276,0.065455,0.001179,0.002609,1.83,0.45
IC0,1000,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.014361,0.014893,0.000532,0.001422,3.71,0.37
IC1,1000,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.012746,0.013652,0.000906,0.001528,7.11,0.59
IC2,1000,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.017994,0.01647,-0.001524,0.001277,-8.47,-1.19
IC3,1000,reference_effect_rmse,REF-ATE-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.023871,0.028844,0.004973,0.001743,20.83,2.85
IC0,1000,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,3.1e-05,0.0,-3.1e-05,3e-06,-99.95,-9.24
IC1,1000,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,4e-05,0.0,-4e-05,4e-06,-99.87,-9.53
IC2,1000,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.000361,1e-06,-0.00036,3e-05,-99.66,-11.89
IC3,1000,kernel_law_error,LAW-A-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,4e-05,0.0,-4e-05,4e-06,-99.87,-9.53
IC0,1000,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.046226,0.046323,9.8e-05,0.010865,0.21,0.01
IC1,1000,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.10583,0.110389,0.004559,0.007126,4.31,0.64
IC2,1000,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.081015,0.07896,-0.002055,0.008286,-2.54,-0.25
IC3,1000,mean_quantile_rmse,MEANQ-A-K,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.133514,0.126144,-0.00737,0.00541,-5.52,-1.36
IC0,1000,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.034567,0.034332,-0.000235,0.001561,-0.68,-0.15
IC1,1000,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.036262,0.036508,0.000247,0.00141,0.68,0.17
IC2,1000,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.035114,0.03514,2.5e-05,0.001689,0.07,0.01
IC3,1000,tcate_functional_rmse,TCATE-K-grid_mean,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.068269,0.066557,-0.001711,0.002164,-2.51,-0.79
IC0,1000,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.031067,0.030698,-0.000369,0.001649,-1.19,-0.22
IC1,1000,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.035635,0.032813,-0.002822,0.001282,-7.92,-2.2
IC2,1000,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.036389,0.032559,-0.00383,0.001776,-10.53,-2.16
IC3,1000,reference_tcate_rmse,REF-TCATE-COMMON199,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.067785,0.068002,0.000217,0.002474,0.32,0.09
IC0,1000,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.014194,0.014905,0.000711,0.001431,5.01,0.5
IC1,1000,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.017662,0.016222,-0.00144,0.00183,-8.15,-0.79
IC2,1000,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.025081,0.020642,-0.004439,0.002206,-17.7,-2.01
IC3,1000,reference_effect_rmse,REF-ATE-COMMON199,cwdb_dr,K25M10,cwdb_dr,K49M10,20,0.028958,0.032472,0.003513,0.001778,12.13,1.98
