method,n_train,mean,std,count,target_id,mc_se
causal_drf,500,0.1465980497573362,0.09732086798596742,60,TATE-K-grid_mean,0.012564070031603413
causal_drf,1000,0.10262702109484631,0.07773321013407375,60,TATE-K-grid_mean,0.010035314276550307
cwdb_dr,500,0.03292176002387759,0.023790694890773605,60,TATE-K-grid_mean,0.0030713655035556017
cwdb_dr,1000,0.02949180188241268,0.022029751756096724,60,TATE-K-grid_mean,0.0028440287224148733
drf,500,0.10637002156226444,0.08347883324671289,60,TATE-K-grid_mean,0.010777071030844835
drf,1000,0.07358487338942138,0.0643331121630436,60,TATE-K-grid_mean,0.008305369067238723
causal_drf,500,0.021498031336894454,0.015542144189882895,60,REF-ATE-K,0.002006482187059027
causal_drf,1000,0.01397979554952818,0.011742502717932701,60,REF-ATE-K,0.0015159505823116226
cwdb_dr,500,0.017937966141066953,0.01150371530127455,60,REF-ATE-K,0.001485123259378259
cwdb_dr,1000,0.013546032061886787,0.010458573553892327,60,REF-ATE-K,0.0013501960399770099
drf,500,0.019736754096881463,0.01420824831890029,60,REF-ATE-K,0.0018342769705960115
drf,1000,0.013847378718033087,0.010722968516857613,60,REF-ATE-K,0.0013843292829231993
causal_drf,500,0.05035467750653693,0.029506688417306345,60,REF-TCATE-K,0.0038092970947319585
causal_drf,1000,0.04758708402402924,0.031085601393191685,60,REF-TCATE-K,0.004013133883422449
cwdb_dr,500,0.044852629658064705,0.01704275305693499,60,REF-TCATE-K,0.002200209958767825
cwdb_dr,1000,0.03519299832104831,0.012711433319595613,60,REF-TCATE-K,0.001641038985107329
drf,500,0.05560655293939238,0.03325621865836508,60,REF-TCATE-K,0.004293359367389344
drf,1000,0.05193118181802676,0.03244133378855031,60,REF-TCATE-K,0.004188158183060378
causal_drf,500,0.15418299056243612,0.0955799628449234,60,TCATE-K-grid_mean,0.012339320144317066
causal_drf,1000,0.10975005813814051,0.07517103205314504,60,TCATE-K-grid_mean,0.009704538508635155
cwdb_dr,500,0.061497601052405114,0.02201846530067676,60,TCATE-K-grid_mean,0.0028425716472855658
cwdb_dr,1000,0.04663638446333271,0.019492953463938232,60,TCATE-K-grid_mean,0.0025165294711409648
drf,500,0.11834101921937482,0.07644026545060648,60,TCATE-K-grid_mean,0.009868395835662435
drf,1000,0.08505282751322055,0.058169957473230255,60,TCATE-K-grid_mean,0.007509709218113815
