dgp,n_train,n_grid,n_particles,metric,target_id,functional,mean,mc_se,n_seeds,primary_mean,absolute_delta,relative_delta,paired_delta,paired_mc_se,n_pairs,evaluated
IC0,1000,25,5,kernel_law_error,LAW-A-K,,0.01528928675865084,0.0004695282968646174,10,0.015286262643050852,3.0241155999869568e-06,0.00019783224131385196,-3.0241155999845283e-06,0.00040772033413622653,10,True
IC0,1000,25,10,kernel_law_error,LAW-A-K,,0.015286262643050852,0.000491796215812213,10,0.015286262643050852,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,kernel_law_error,LAW-A-K,,0.015262917190107764,0.00047277255582930114,10,0.015286262643050852,2.3345452943088554e-05,0.0015272178352699845,2.33454529430889e-05,0.0005857268051060718,10,True
IC0,1000,25,5,mean_quantile_rmse,MEANQ-A-K,,0.03560651433636243,0.0053798607253122575,10,0.042719826998796104,0.007113312662433674,0.16651080217703446,0.00711331266243367,0.007937309944452332,10,True
IC0,1000,25,10,mean_quantile_rmse,MEANQ-A-K,,0.042719826998796104,0.004140627187379108,10,0.042719826998796104,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,mean_quantile_rmse,MEANQ-A-K,,0.048021730169137675,0.010130673707902592,10,0.042719826998796104,0.005301903170341571,0.12410872287687366,-0.005301903170341567,0.010701858277679216,10,True
IC0,1000,25,5,reference_effect_rmse,REF-ATE-K,,0.014226224486290675,0.002466850432750994,10,0.01512225706742821,0.0008960325811375354,0.059252569053828454,0.0008960325811375345,0.0020799112832301666,10,True
IC0,1000,25,10,reference_effect_rmse,REF-ATE-K,,0.01512225706742821,0.0019998978442352456,10,0.01512225706742821,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,reference_effect_rmse,REF-ATE-K,,0.012627596728772363,0.001820790655694694,10,0.01512225706742821,0.0024946603386558474,0.16496613749736405,0.002494660338655847,0.0018413289701950232,10,True
IC0,1000,25,5,reference_tcate_rmse,REF-TCATE-K,,0.02980031781643172,0.0027709144016502167,10,0.028572799968550423,0.0012275178478812973,0.042961062592129735,-0.001227517847881298,0.0024609365208417403,10,True
IC0,1000,25,10,reference_tcate_rmse,REF-TCATE-K,,0.028572799968550423,0.002556098827968072,10,0.028572799968550423,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,reference_tcate_rmse,REF-TCATE-K,,0.02804079697189756,0.002573230132506417,10,0.028572799968550423,0.0005320029966528646,0.01861921118120838,0.0005320029966528618,0.002583277147387255,10,True
IC0,1000,25,5,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.012822177864207463,0.0024444629221230256,10,0.01558129410259505,0.0027591162383875864,0.1770787599682146,0.0027591162383875873,0.0016075336345628293,10,True
IC0,1000,25,10,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.01558129410259505,0.003011998913899871,10,0.01558129410259505,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.014278740701668322,0.0032571543717215255,10,0.01558129410259505,0.0013025534009267273,0.08359725401176968,0.0013025534009267286,0.0019584310413885988,10,True
IC0,1000,25,5,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.011563713219168497,0.0018598170859883663,10,0.010240731876254763,0.0013229813429137347,0.12918816339497555,-0.001322981342913734,0.0023085443188113966,10,True
IC0,1000,25,10,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.010240731876254763,0.0023450471694311473,10,0.010240731876254763,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.007642323251444557,0.001867551399003113,10,0.010240731876254763,0.0025984086248102053,0.2537327074088473,0.0025984086248102044,0.0017906319298168028,10,True
IC0,1000,25,5,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.002824959101959408,0.000718673043998364,10,0.0025471331070453466,0.0002778259949140615,0.1090739993703499,-0.0002778259949140616,0.0008032556378290808,10,True
IC0,1000,25,10,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.0025471331070453466,0.0004914598007332064,10,0.0025471331070453466,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.0020202626993569743,0.000682697824626486,10,0.0025471331070453466,0.0005268704076883722,0.2068483999642789,0.0005268704076883725,0.0007957463820652097,10,True
IC0,1000,25,5,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.012895466582612652,0.0022657501188511403,10,0.017017113620143146,0.0041216470375304935,0.2422060009431742,0.004121647037530496,0.0015149325277843237,10,True
IC0,1000,25,10,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.017017113620143146,0.002371187675329871,10,0.017017113620143146,0.0,0.0,0.0,0.0,10,True
