method,n_train,n_grid,n_particles,mean,median,count
causal_drf,500,25,10,25.311879067500012,25.96526260599785,4200
causal_drf,1000,5,10,46.33691708159995,46.17428539750108,1400
causal_drf,1000,25,10,52.45872503367493,51.578392953997536,5600
causal_drf,1000,49,10,81.42961851309974,81.42593670699898,1400
cwdb_dr,500,25,10,208.12372977627479,219.90408746750109,4920
cwdb_dr,1000,5,5,91.29834761550009,92.0064695555011,820
cwdb_dr,1000,5,10,126.86646628627503,116.70022292949989,1640
cwdb_dr,1000,5,25,483.5494887839501,489.3951476570037,820
cwdb_dr,1000,25,5,167.08924250457554,177.74012603199913,1640
cwdb_dr,1000,25,10,355.0542586432459,330.2631414850019,9840
cwdb_dr,1000,25,25,1456.0549844141249,1345.5618657045002,1640
cwdb_dr,1000,49,5,329.2951371249994,327.3245336154978,820
cwdb_dr,1000,49,10,559.1305146376499,524.4401562774998,4920
cwdb_dr,1000,49,25,3553.0019055521498,4036.846876690499,820
cwdb_dr_flex,500,25,10,201.43645551465005,211.86567871050102,820
cwdb_dr_flex,1000,25,10,329.79849909454975,312.7896074185,820
cwdb_dr_flex_rf,500,25,10,155.69157799680002,151.67978538350008,820
cwdb_dr_flex_rf,1000,25,10,301.0879357968,298.4090100264999,820
cwdb_dr_oracle,500,25,10,195.42473213999978,210.41871593350152,820
cwdb_dr_oracle,1000,25,10,325.6610036399501,302.4223505405,820
drf,500,25,10,23.888485408891697,24.51106439850264,4200
drf,1000,5,10,50.97910783872503,51.03791551050017,1400
drf,1000,25,10,45.70036725523744,44.48024465549861,5600
drf,1000,49,10,63.47934120424943,63.38002744449841,1400
