dgp,n_train,n_grid,n_particles,method,comparator,metric,target_id,n_seeds,mean,mc_se,comparator_mean,paired_delta,paired_mc_se,n_pairs
SYM-LIN,500,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-K,10,0.05478106085613391,0.005412364129171163,,,,0
SYM-LIN,500,25,10,causal_drf,,reference_effect_rmse,REF-ATE-K,10,0.025934060333536412,0.00546639961038486,,,,0
SYM-LIN,500,25,10,causal_drf,,kernel_law_error,LAW-A-K,10,0.059154311332291744,0.0018404292337572369,,,,0
SYM-LIN,500,25,10,causal_drf,,mean_quantile_rmse,MEANQ-A-K,10,0.1275621042037876,0.005722540254398611,,,,0
SYM-LIN,500,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.0546702700210849,0.005420467351954735,,,,0
SYM-LIN,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.04517321688013745,0.004111032407187672,,,,0
SYM-LIN,500,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.011435507020410011,0.0026023783600396685,,,,0
SYM-LIN,500,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.03048650188702917,0.0010351686104552518,,,,0
SYM-LIN,500,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.13788570048610366,0.006675959406687617,,,,0
SYM-LIN,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.045150958539107305,0.004107856815027107,,,,0
SYM-LIN,500,25,10,drf,,reference_tcate_rmse,REF-TCATE-K,10,0.04275554282721305,0.005324888975913478,,,,0
SYM-LIN,500,25,10,drf,,reference_effect_rmse,REF-ATE-K,10,0.020622832664146253,0.004075151034476351,,,,0
SYM-LIN,500,25,10,drf,,kernel_law_error,LAW-A-K,10,0.0647198087034983,0.0019198500662436961,,,,0
SYM-LIN,500,25,10,drf,,mean_quantile_rmse,MEANQ-A-K,10,0.1257429270624973,0.00362996183944521,,,,0
SYM-LIN,500,25,10,drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04267550829994356,0.005330300308486109,,,,0
SYM-LIN,1000,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-K,10,0.03923257454504924,0.0029666399337538985,,,,0
SYM-LIN,1000,25,10,causal_drf,,reference_effect_rmse,REF-ATE-K,10,0.016087130642011335,0.0025446794738467303,,,,0
SYM-LIN,1000,25,10,causal_drf,,kernel_law_error,LAW-A-K,10,0.04584688534991095,0.001606919547295774,,,,0
SYM-LIN,1000,25,10,causal_drf,,mean_quantile_rmse,MEANQ-A-K,10,0.1005258614667824,0.006092206156868209,,,,0
SYM-LIN,1000,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.039201050539978265,0.00294241930055211,,,,0
SYM-LIN,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.034988045969588176,0.002759121983217657,,,,0
SYM-LIN,1000,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.015908777510140554,0.0037131529655082362,,,,0
SYM-LIN,1000,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.023039429744346,0.0010518678801035917,,,,0
SYM-LIN,1000,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.11807793096946177,0.007641666575079316,,,,0
SYM-LIN,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.03492420152858438,0.0027626649593783803,,,,0
SYM-LIN,1000,25,10,drf,,reference_tcate_rmse,REF-TCATE-K,10,0.033959169125291545,0.002154319812394754,,,,0
SYM-LIN,1000,25,10,drf,,reference_effect_rmse,REF-ATE-K,10,0.015408437186886798,0.0033184306723353096,,,,0
SYM-LIN,1000,25,10,drf,,kernel_law_error,LAW-A-K,10,0.0516950399438986,0.001414469082452726,,,,0
SYM-LIN,1000,25,10,drf,,mean_quantile_rmse,MEANQ-A-K,10,0.12084758685084988,0.0029408628085541627,,,,0
SYM-LIN,1000,25,10,drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.033902268793325745,0.002113332737600364,,,,0
SYM-MU,500,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-K,10,0.05708620541868742,0.004427664431285571,,,,0
SYM-MU,500,25,10,causal_drf,,reference_effect_rmse,REF-ATE-K,10,0.04165422242800313,0.005262732983422521,,,,0
SYM-MU,500,25,10,causal_drf,,kernel_law_error,LAW-A-K,10,0.060530710208288444,0.0019867230042381902,,,,0
SYM-MU,500,25,10,causal_drf,,mean_quantile_rmse,MEANQ-A-K,10,0.18330271003481013,0.00603989319457361,,,,0
SYM-MU,500,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.05687739138975354,0.004350533775939083,,,,0
SYM-MU,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.04614668986873148,0.0034473538244725052,,,,0
SYM-MU,500,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.022295253141973843,0.004634427504995611,,,,0
SYM-MU,500,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.02732646504254609,0.0005224216593812484,,,,0
SYM-MU,500,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.1286768278304405,0.0070403170331946015,,,,0
SYM-MU,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04596207147274682,0.0033697592869758254,,,,0
SYM-MU,500,25,10,drf,,reference_tcate_rmse,REF-TCATE-K,10,0.05013507040236973,0.005088093740013025,,,,0
SYM-MU,500,25,10,drf,,reference_effect_rmse,REF-ATE-K,10,0.03526712162386388,0.005591721166678976,,,,0
SYM-MU,500,25,10,drf,,kernel_law_error,LAW-A-K,10,0.06882646183108912,0.0018178946387165616,,,,0
SYM-MU,500,25,10,drf,,mean_quantile_rmse,MEANQ-A-K,10,0.171736226727768,0.005655849363677779,,,,0
SYM-MU,500,25,10,drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.049930838984983766,0.005014102825159438,,,,0
SYM-MU,1000,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-K,10,0.04606623016364775,0.003975286233443303,,,,0
SYM-MU,1000,25,10,causal_drf,,reference_effect_rmse,REF-ATE-K,10,0.02171812068898818,0.0028348764693648903,,,,0
SYM-MU,1000,25,10,causal_drf,,kernel_law_error,LAW-A-K,10,0.048223522389660156,0.0014042408039153839,,,,0
